"client_id","full_name","email","membership_type","join_date"
ea402337-5c53-45cd-904f-a86d07219570,Eric Davis,brownsophia@example.org,Standard,2022-10-30
de15ae6b-7bdf-4d7d-bd1b-da6c843dad6d,Stacey Cain,stephen78@example.com,Premium,2024-06-22
"73027923-1460-4601-a69f-cb648cdeb6fd",Jeanne Smith,brittany89@example.org,Premium,2023-08-09
"2dd50125-6fd4-4b5b-83c2-93dced27c592",Stephanie Lewis,john20@example.org,Standard,2024-11-23
cb9b4eaf-7728-4eaa-8012-6d6ff5eaf93b,Marie Bishop,elizabethwilson@example.org,Standard,2022-01-01
ee477052-48ee-4941-8fe6-1c8c04f1d636,Larry Fischer,jenkinsmartin@example.org,Premium,2021-07-28
"008a5d07-508d-4ead-985b-dede67fd595e",Vincent Archer,harpernancy@example.org,Basic,2023-03-08
"15beb548-b587-4cda-819d-298519c6c92e",Brian Gray,elizabethdavis@example.com,Standard,2022-04-20
eb4a2b30-3082-4776-8519-acde915d7f8f,Jacqueline Odonnell,nathanielwilcox@example.com,Standard,2024-10-29
"4d0c1f92-d3a8-4282-913b-9f039f58fe1c",Tracy Porter,miranda98@example.net,Premium,2025-03-05
"2b0dce9f-aa80-4aa3-b4bf-a3342c3b3c0f",Lisa Taylor,kingmichele@example.net,Standard,2023-02-03
fb6e905c-72ce-42ae-a9a5-8b95234da507,Cheryl Chang,darlenehawkins@example.com,Premium,2024-02-19
"9cfa1d8e-36c5-47a5-9712-e8b5f520cfcc",Mrs. Carla Johnson,dmartinez@example.com,Standard,2023-01-27
c469c763-dcba-41b8-8b1f-1f8c37620d33,Matthew Lewis,ryanclark@example.net,Standard,2022-06-03
"181e44ae-745c-4ff1-99b1-042de81d47d6",Bradley Patton,choward@example.net,Premium,2025-03-05
a02d3a8e-900f-47ff-8cae-d1354d0c4064,Dale Smith,jeffrey91@example.org,Premium,2023-05-28
"3de30dd1-3861-4e42-ab4e-d82b2a6a5f0c",Patrick Paul,madisonyang@example.net,Standard,2025-01-29
"53396de4-5424-451c-887f-a55408468b66",Jordan Camacho,zchapman@example.org,Standard,2021-10-10
d37e2b09-4ea2-48ef-b012-66f3f245ee0d,Brian Heath,morrisstephen@example.com,Premium,2024-10-24
"0d030826-94c5-49ce-af85-1215a859b24e",Mike Roberts,gracelynn@example.net,Standard,2025-12-10
e3d2193b-3bf2-45e3-9dbe-af1e623e8b0f,Matthew Duffy,grahampatricia@example.org,Basic,2024-07-24
e21d29f9-0acb-4b41-bd10-20604a8ac125,Angela Mata,oliverjohn@example.com,Basic,2021-09-12
"73b98102-18f9-450c-bd2d-c9d3d3acd2c0",Travis Hensley,masontim@example.com,Standard,2025-12-08
b571cec6-151e-4f8d-bafb-74ab12093fe5,Jennifer Duncan,qcampbell@example.org,Standard,2023-09-29
f338907e-2e19-4af6-9ada-820ff160a140,Amanda Wright,alewis@example.com,Premium,2022-07-01
"75ed1030-acea-470d-ae63-728f705e9a14",Mr. Joseph Fernandez,nicholas81@example.net,Basic,2023-10-23
c5956cbb-2f8e-4867-a707-b77e20c1e2a0,Nicole Morgan,zsanford@example.net,Premium,2024-01-31
"0c6b33de-04d1-49d4-abb6-fb6e5ac3fa1c",Rachel Myers,gregorythomas@example.org,Standard,2025-09-02
"16b7bf61-8600-4ee1-add5-bb96a427379b",Derrick Brown,lukelloyd@example.net,Standard,2024-11-02
"8b8c09eb-ed30-4abb-8169-59bfa26244e5",Brian Melton,holdenlaura@example.com,Standard,2024-03-09
c7da99c0-710e-4805-af05-dc76647b3ebf,Sheri Payne,matthewyoung@example.com,Premium,2025-03-27
a6ff5a64-7344-4b3d-b75d-634d1427202c,Destiny Garner,jamierichardson@example.com,Premium,2022-08-26
"869e0b10-79e6-42b1-8a05-4a374f9b3a2d",Stephanie Reyes,edwardvaughn@example.com,Premium,2022-07-01
"083152b2-4132-4d2c-8ddf-188cf93f7cb5",Beth Rivera,john09@example.org,Basic,2022-06-29
"2325d46a-ead0-46dc-bfcb-2f23743f94a9",Mary Henry,parkerkimberly@example.net,Premium,2022-02-13
b62add77-4841-4358-8bde-b58c422da69c,Leslie Cochran,victoriaeaton@example.com,Premium,2025-05-31
"33bfc768-796f-4570-8839-68c8cf9fe4dc",Laura Kirk,melissa66@example.com,Premium,2026-05-20
eef5cad5-4f05-4d24-8a1c-3e9fc1d9a7f7,Mrs. Emily Mitchell,melissa02@example.com,Standard,2023-09-18
"940037e1-8f65-440d-98f6-36c4db5fd196",Mary Diaz,tracysingh@example.com,Standard,2024-12-27
"6cdcb822-b1dd-4202-b063-8ef80cf06b71",Vincent Jones,martinstewart@example.org,Basic,2026-03-31
"9c1747fa-3730-4f82-ab03-88d865f8719f",Robert Estes,harveyann@example.net,Premium,2024-03-05
e92d9a7e-87af-4b0c-b3dc-c571c5893dce,Michael Miller,deborahchavez@example.net,Standard,2021-07-01
"55f232d4-8afb-4701-94fc-13f57b231a0a",Evan Morris,taylorbrittany@example.net,Basic,2023-01-22
"04ebf679-1266-494d-a426-0e531fe3a428",Brett Mccarty,eddie92@example.net,Basic,2026-04-06
ee76e95c-3625-4b95-9627-e1dc5d948476,Brent Martin,qwade@example.com,Standard,2022-02-02
"99d09a63-2401-452f-b27b-7744f1f18c77",Hannah Lewis,wrodriguez@example.net,Standard,2023-01-15
"7969e725-257d-4cd6-81c2-03b48ab5a693",Allison Cooper,kara39@example.org,Premium,2023-06-17
"7beaf5ba-6d72-4b21-8dca-bc81512e658f",David Black,mahoneyjason@example.com,Premium,2022-02-24
"74494412-6b12-41ab-9db0-d4560f9e8baa",John Erickson,fosteralicia@example.net,Premium,2024-04-10
"0ad7f194-fea8-4b91-8c20-a61b9dafaee0",James Mitchell,dominiquemcdaniel@example.net,Premium,2023-11-16
"1a652ddc-5601-43a5-84e1-c4d324fcd426",Rhonda Smith,bmorgan@example.com,Standard,2023-11-07
"685687d2-e2cf-43ad-b04c-1a448cc5f39a",Debra Martinez,courtneybruce@example.org,Premium,2023-05-07
"08a4911c-f536-4191-b30e-d17fc0dfc27c",Kelsey Morgan,campbelljacob@example.com,Premium,2024-09-20
"4927ad6b-7938-40e6-a8b2-b3284103025c",Dr. Anthony Fleming,fdecker@example.org,Premium,2025-12-29
"92e57d3d-d4bf-46db-b1b2-41e912eb20f9",Taylor Sanders,wrighteric@example.net,Premium,2022-08-03
a24c394d-73c4-4deb-93ba-dbd385df3a4c,Jimmy Watson,xalexander@example.org,Premium,2023-05-27
c474b6ff-b89a-4a98-90c3-7d80cd37884e,Cynthia Hall,graymatthew@example.org,Premium,2025-06-23
"551cdb13-5831-43cc-8a51-1c7660021139",Angela Turner,chad93@example.org,Premium,2022-05-09
b6504620-c869-41b0-b115-5075d5ba3787,Kenneth Sharp,krystal04@example.net,Standard,2022-01-22
cbb315bb-a616-4ded-ba82-23afd55ceb54,Brenda Guerrero,cherylcunningham@example.com,Basic,2023-07-15
"6cc97a08-cf5f-45be-87c3-79de1f01de1c",Michelle Smith,carrbeth@example.com,Basic,2024-12-09
cff67027-a5d2-4050-9622-f15cf64b3a97,Douglas Ford,haley00@example.org,Standard,2023-11-11
"99b7224e-a603-4b4c-8e11-ede6a75f3bcd",Michelle Davis,margaret50@example.net,Standard,2025-12-03
"11867934-c812-4706-81a9-99c8a8aac600",Luke Bates,simonbenjamin@example.com,Standard,2023-02-05
d61fc742-7106-432b-9b87-69f86e3b40d0,Brandon Martin,matthewmiller@example.org,Standard,2026-06-23
